feature,mean_abs_shap
gender,0.17062718007452785
PaymentMethod,0.07256766526022304
Partner,0.05542152096893016
SeniorCitizen,0.04338767625587061
DeviceProtection,0.03834090679738049
OnlineBackup,0.03658143075890839
StreamingMovies,0.03217758765804269
TotalCharges,0.02657638015660146
MonthlyCharges,0.019405156085081397
PaperlessBilling,0.016791594599994516
Contract,0.016727830717929947
TechSupport,0.014563363450858744
MultipleLines,0.00849209093224878
tenure,0.004338447177844742
OnlineSecurity,0.002929512596596033
StreamingTV,0.0024195239035102217
InternetService,0.0005806950884560742
PhoneService,0.0005336359152259909
Dependents,1.1917729458461108e-05
