feature,mean_abs_shap
PaymentMethod,0.09350057200865726
gender,0.07909701213822479
Partner,0.05518343228078668
TotalCharges,0.019768373751675797
MultipleLines,0.007657620869878496
SeniorCitizen,0.006359266118226308
PhoneService,0.0028748380699150644
MonthlyCharges,0.0016360823626319551
OnlineSecurity,0.0014424049388085075
tenure,4.82178679711762e-05
Dependents,1.9505777671223333e-05
InternetService,0.0
DeviceProtection,0.0
TechSupport,0.0
StreamingTV,0.0
StreamingMovies,0.0
Contract,0.0
PaperlessBilling,0.0
OnlineBackup,0.0
