feature,mean_abs_shap
gender,0.18975786414047469
Partner,0.08827943651602448
OnlineBackup,0.05247345458148045
MonthlyCharges,0.02817161865913852
DeviceProtection,0.02716112483831434
TotalCharges,0.026160619321539215
PaymentMethod,0.025134541219977352
TechSupport,0.016922889549401587
SeniorCitizen,0.01690374487581818
StreamingMovies,0.01101370775824567
OnlineSecurity,0.004179397650389002
PhoneService,0.003604825430223716
StreamingTV,0.001849732533609495
InternetService,0.001180548237764744
Contract,0.0010727440073853348
MultipleLines,0.0009701009355097402
PaperlessBilling,0.0009060879370236455
Dependents,0.0003257741148816416
tenure,2.9835608244568545e-07
