feature,mean_abs_shap
gender,0.15620340318540113
PaymentMethod,0.07317883680798115
Partner,0.051831593156885354
OnlineBackup,0.047308067888409536
DeviceProtection,0.040685667689470566
StreamingMovies,0.03087452298270849
SeniorCitizen,0.029796666438574912
TotalCharges,0.02654341170005501
MonthlyCharges,0.02321389794259644
PaperlessBilling,0.017555559114894516
TechSupport,0.016416439022884394
Contract,0.015158518195811972
tenure,0.009072905447023607
MultipleLines,0.006004827165293199
StreamingTV,0.0030727287389958895
OnlineSecurity,0.0018944509712203088
PhoneService,0.0006934219262562682
InternetService,0.00034609474830018866
Dependents,4.5057692223541155e-05
